file,info,label,f0
contour_1619_7_2,Incredulity,No label,"[-12.034889221191406, -9.26972484588623, -6.5077009201049805, -3.7435896396636963, -0.9928756356239319, 26.303815841674805, 29.067920684814453, 31.484588623046875, 35.630252838134766, 39.76763153076172, 30.449464797973633, 23.196033477783203, 12.488472938537598, -0.2880469858646393, -9.625861167907715, -77.31140899658203, -72.82038879394531, -54.86146926879883, 10.787423133850098, 78.12860870361328]"
contour_1619_7_3,Implication,No label,"[-15.142253875732422, -13.41535758972168, -11.688464164733887, -9.961520195007324, -9.961520195007324, 31.484588623046875, 34.938453674316406, 36.665367126464844, 40.11918258666992, 43.564491271972656, 25.27042579650879, 12.837980270385742, 0.39996787905693054, -10.996652603149414, -18.942548751831055, -2.0166802406311035, -1.3269493579864502, -15.142253875732422, -32.41151428222656, -23.085092544555664]"
contour_1645_5_2,Incredulity,Yes/No Rise,"[-15.328317642211914, -16.70779037475586, -12.218855857849121, -5.647277355194092, 2.5320208072662354, 22.319570541381836, 23.35676383972168, 24.0465030670166, 21.629837036132812, 17.477930068969727, -146.91864013671875, -136.55709838867188, -110.65328979492188, -96.83794403076172, -83.02257537841797, 8.504158973693848, 8.504158973693848, 13.684943199157715, 18.865711212158203, 22.319570541381836]"
contour_1645_6_1,Contradiction,Contradiction Contour,"[46.83212661743164, 50.989166259765625, 55.13100814819336, 59.27151870727539, 63.363101959228516, 186.7265167236328, 182.57843017578125, 177.74234008789062, 166.69625854492188, 133.53221130371094, -166.2594757080078, -168.6768341064453, -169.36862182617188, -170.4037628173828, -163.17628479003906, -121.70455169677734, -75.75853729248047, -27.761144638061523, 7.123302936553955, 11.95801830291748]"
contour_1645_6_2,Incredulity,Yes/No Rise,"[18.891620635986328, 43.0599365234375, 56.857940673828125, 65.14785766601562, 69.9784164428711, 52.0010986328125, 45.811893463134766, 36.13496398925781, 19.48908805847168, 2.0023648738861084, -159.353515625, -156.58837890625, -150.3725128173828, -124.23731231689453, -85.38200378417969, 15.437753677368164, 74.82068634033203, 94.85016632080078, 98.30403137207031, 89.66941833496094]"
contour_1646_5_2,Incredulity,Yes/No Rise,"[-7.747597694396973, -7.747597694396973, -7.747597694396973, -0.8399088382720947, 9.44527530670166, -4.29376745223999, -6.020680904388428, -6.020680904388428, -7.747597694396973, -10.514857292175293, -145.55516052246094, -144.86404418945312, -132.08587646484375, -115.85179138183594, -106.8700942993164, 4.340871810913086, 7.794686794281006, 14.702383041381836, 25.06392478942871, 33.698516845703125]"
contour_1646_6_2,Incredulity,Yes/No Rise,"[26.79084587097168, 26.79084587097168, 26.79084587097168, 25.06392478942871, 21.601408004760742, -4.648725986480713, -8.781007766723633, -12.92837905883789, -19.154632568359375, -25.494901657104492, -76.82442474365234, -80.2782974243164, -82.00518798828125, -82.00518798828125, -64.8375015258789, 61.32927322387695, 106.2291259765625, 130.40603637695312, 133.85987854003906, 128.6790771484375]"
contour_1646_6_3,Implication,Upstepped Fall,"[-69.23011016845703, -75.43359375, -87.18596649169922, -102.70235443115234, -116.83612823486328, -94.09364318847656, -99.27438354492188, -104.45514678955078, -111.36283874511719, -121.80304718017578, -38.48267364501953, -30.542299270629883, -26.743724822998047, -28.815359115600586, -48.96903610229492, -167.3140106201172, -170.07810974121094, -154.53582763671875, -145.90122985839844, -147.62815856933594]"
contour_1646_7_2,Incredulity,Yes/No Rise,"[14.702383041381836, 14.702383041381836, 12.975454330444336, 14.01264476776123, 16.763391494750977, 38.879295349121094, 40.606197357177734, 38.879295349121094, 36.11724853515625, 21.938772201538086, -21.216869354248047, -21.562942504882812, -21.562942504882812, -21.562942504882812, -23.636302947998047, -132.08587646484375, -130.3589630126953, -114.8166732788086, -92.36670684814453, -52.64756774902344]"
contour_1646_7_3,Implication,RFR,"[29.204402923583984, 23.686525344848633, 18.156217575073242, 14.702383041381836, 14.702383041381836, -19.836023330688477, -35.37835693359375, -45.73985290527344, -56.10139465332031, -66.46293640136719, -38.83219909667969, -2.566836357116699, 26.79084587097168, 45.78697967529297, 85.506103515625, -83.73210906982422, -92.36670684814453, -87.18596649169922, -71.64366912841797, -49.19370651245117]"
contour_1647_5_1,Contradiction,Contradiction Contour,"[0.8031399846076965, 4.948075771331787, 9.091654777526855, 16.69113540649414, 23.91858673095703, 52.61069869995117, 56.75566864013672, 57.445411682128906, 55.02873229980469, 50.87686538696289, -34.081356048583984, -35.80828857421875, -32.35444259643555, -28.900590896606445, -25.44675064086914, -2.9968156814575195, 0.4570642113685608, 2.1839945316314697, 3.910888671875, 12.545499801635742]"
