file,info,label,f0
contour_930_4_2,Incredulity,Yes/No Rise,"[8.33525562286377, 14.580279350280762, 19.0640926361084, 27.336931228637695, 35.41671371459961, 50.845611572265625, 86.7686538696289, 107.136962890625, 100.95736694335938, 82.61542510986328, 27.698686599731445, 53.60252380371094, 86.41397094726562, 127.86003112792969, 148.58311462402344]"
contour_930_4_3,Implication,RFR,"[3.1545157432556152, 9.399502754211426, 15.61025333404541, 23.883079528808594, 31.962848663330078, 49.46411895751953, 60.17411422729492, 81.23318481445312, 170.69708251953125, 151.35243225097656, 32.87944793701172, 24.244857788085938, -20.655107498168945, 12.156390190124512, 110.5908432006836]"
contour_930_8_1,Contradiction,Contradiction Contour,"[-5.806021690368652, -3.7305972576141357, 0.06795169413089752, 6.275633811950684, 12.373978614807129, 160.67160034179688, 165.5076904296875, 164.12547302246094, 154.46084594726562, 135.4194793701172, -94.91268920898438, -85.58625793457031, -82.8242416381836, -80.06012725830078, -66.58843994140625]"
contour_930_8_3,Implication,RFR,"[53.60252380371094, 57.05635070800781, 62.23713684082031, 72.5986099243164, 93.02056884765625, 111.62971496582031, 99.55511474609375, 74.32551574707031, 50.174476623535156, 32.433109283447266, 27.014148712158203, 92.66802215576172, 112.3177261352539, 98.8519287109375, 71.2177734375]"
contour_930_9_3,Implication,RFR,"[-12.0205078125, -18.928178787231445, -32.743587493896484, -41.378173828125, -48.3206672668457, 34.26513671875, 42.20759201049805, 50.14866638183594, 61.549110412597656, 63.964054107666016, -29.97774314880371, -57.25652313232422, -79.3703842163086, -88.00502014160156, -44.81470489501953]"
contour_1072_1_3,Implication,RFR,"[-21.608041763305664, -20.227190017700195, -18.500267028808594, -14.354630470275879, -7.1271653175354, 35.731258392333984, 52.65822219848633, 67.84576416015625, 66.81063842773438, 56.78937911987305, -31.262908935546875, 9.476561546325684, -1.231042504310608, -63.40021896362305, -42.327667236328125]"
contour_1072_2_1,Contradiction,Fall,"[-78.61860656738281, -84.80781555175781, -91.03094482421875, -95.17967987060547, -99.37873077392578, 54.03046417236328, 54.72225570678711, 48.849666595458984, 36.42513656616211, 17.606645584106445, -9.865653991699219, -59.94635772705078, -120.38856506347656, -113.48088836669922, -92.75784301757812]"
contour_1072_2_2,Incredulity,Yes/No Rise,"[-47.534053802490234, -53.72323989868164, -59.94635772705078, -66.17266845703125, -72.51299285888672, 35.00815963745117, 48.17549133300781, 59.2111930847168, 70.27995300292969, 81.13782501220703, -30.242624282836914, 1.8867053985595703, 97.20338439941406, 145.9119415283203, 175.64559936523438]"
contour_1072_2_3,Implication,No label,"[-30.244346618652344, -33.005332946777344, -39.22330856323242, -47.50324630737305, -55.90581130981445, 73.0438232421875, 94.82283782958984, 111.01873779296875, 123.46190643310547, 132.75341796875, 28.47612762451172, -10.867814064025879, -97.9386215209961, -107.25775146484375, -65.46839141845703]"
contour_1072_3_2,Incredulity,Yes/No Rise,"[69.57267761230469, 79.9342041015625, 78.2072982788086, 64.39192962646484, 24.672786712646484, -75.48866271972656, -66.16053771972656, -47.85793685913086, -22.642131805419922, -0.5392447113990784, -91.03094482421875, -92.75784301757812, 5.6766510009765625, 55.75735855102539, 90.29574584960938]"
