id,song_num,page_num,catalogue_num,performers,performer_genders,bpm_voice,bpm_drum,bpm,beat_duration,meters,voice_use,instrument_use,percussion_use,instrumentation,lyrics,free_translation,tonality,comments
menominee118,118,193,1832,Louis Pigeon (Tcik'wa),male,100,,100,1,3/4,TRUE,FALSE,FALSE,voice,Tei'pitan (he is startled); e'siban (coon),,irregular,The lyrics have been transcribed in the publication
menominee119,119,195,1525,Louis Pigeon (Tcik'wa),male,100,,100,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee120,120,196,1526,Louis Pigeon (Tcik'wa),male,84,,84,1,2/4|3/4|5/8,TRUE,FALSE,FALSE,voice,,,,
menominee121,121,196,1615,Peter Fish (We'sawa'nakwût),male,96,,96,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee122,122,197,1586,John Ca'wûnĭ'pĭnas' (A'djiki),male,92,,92,1,2/4|3/4|3/8,TRUE,FALSE,FALSE,voice,,,,
menominee123,123,198,1627,Agnes Sullivan (Ke'sigo'kiü),female,100,,100,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,The Queen of England wants us to fight against her enemies,,
menominee124,124,199,1587,John Ca'wûnĭ'pĭnas' (A'djiki),male,104,,104,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,"Densmore writes: ""This song is not in 5-4 time, although double and triple measures frequently occur in succession"""
menominee125,125,200,1589,John Ca'wûnĭ'pĭnas' (A'djiki),male,96,,96,1,2/4,TRUE,FALSE,FALSE,voice,,I Bring Black Hawk's scalp home with me,,
menominee126,126,201,1625,Agnes Sullivan (Ke'sigo'kiü),female,84,,84,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee127,127,202,1593,John Ca'wûnĭ'pĭnas' (A'djiki),male,96,,96,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee128,128,202,1590,John Ca'wûnĭ'pĭnas' (A'djiki),male,112,,112,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee129,129,203,1571,David Amab (Wa'nĭskûm),male,129,,129,1,2/4|3/4|6/8|5/8,TRUE,FALSE,FALSE,voice,,All the powerful birds like me and gave me this song,,
menominee130,130,205,1566,David Amab (Wa'nĭskûm),male,120,,120,1,2/4,TRUE,FALSE,FALSE,voice,,I will hide my bullet in the ground so no one can find it,,
menominee131,131,206,1540,Louis Pigeon (Tcik'wa),male,72,,72,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,I will beat you anyway. You are not smart enough,,
menominee132,132,206,1565,David Amab (Wa'nĭskûm),male,120,,120,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee133,133,207,1632,John Mocihat' (Mocihat'),male,88,,88,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee134,134,207,1640,John Okima'se (Okima'se),male,138,,138,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,irregular,
menominee135,135,210,1630,John Mocihat' (Mocihat'),male,100,,100,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,irregular,
menominee136,136,210,1631,John Mocihat' (Mocihat'),male,96|80,,96|80,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"You had better go home, your mother loves you so much",,
menominee137,137,211,1542,Louis Pigeon (Tcik'wa),male,104,,104,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"Do not weep for me, my sweetheart, for you will see mein the springtime",,
menominee138,138,211,1624,Agnes Sullivan (Ke'sigo'kiü),female,96,,96,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee139,139,213,1634,Katherine Laughrey (Ca'wûno'mĭta'we),female,80,,80,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee140,140,213,1629,Agnes Sullivan (Ke'sigo'kiü),female,76,,76,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee141,,208,1646,John Okima'se (Okima'se),male,84,,84,1,3/4|2/4,FALSE,TRUE,FALSE,flute,,,,
menominee142,,209,1647,John Okima'se (Okima'se),male,88,,88,1,3/4|2/4,FALSE,TRUE,FALSE,flute,,,,
menominee143,,209,1648,John Mocihat' (Mocihat'),male,88,,88,1,2/4|3/4,FALSE,TRUE,FALSE,flute,,,,
menominee144,,209,1649,John Mocihat' (Mocihat'),male,84,,84,1,2/4|3/4,FALSE,TRUE,FALSE,flute,,,,
